ano;cd_ops;trimestre;receita;despesa;benef
2018;415774;2018Q2;6220822,68;6449254,34;7087,0
2018;415774;2018Q3;7511112,59;7454694,72;6995,0
2018;415774;2018Q4;6512564,55;6266199,35;7605,0
2018;416495;2018Q1;31310,63;6638,16;125,0
2018;416495;2018Q2;71739,02;71603,66;128,0
2018;416495;2018Q3;79105,24;49325,68;180,0
2018;416495;2018Q4;97113,49;41739,52;186,0
2018;416738;2018Q1;1930342,17;1458004,75;3080,0
2018;416738;2018Q2;1995343,03;1359865,31;3117,0
2018;416738;2018Q3;2040107,48;1508624,43;3188,0
2018;416738;2018Q4;2144476,91;1317813,78;3335,0
2018;417530;2018Q1;18111003,7;14113346,32;13255,0
2018;417530;2018Q2;17884961,67;13828925,98;13187,0
2018;417530;2018Q3;18009650,5;13286595,63;13026,0
2018;417530;2018Q4;18415129,99;12346372,22;12984,0
2018;417599;2018Q1;737538,35;9578453,86;1033,0
2018;417599;2018Q2;865103,85;9834591,41;1042,0
2018;417599;2018Q3;723222,18;8007076,34;1025,0
2018;417599;2018Q4;535553,33;5500429,96;906,0
2018;418021;2018Q1;20122,95;0,0;25771,0
2018;418021;2018Q2;16644,44;0,0;25604,0
2018;418021;2018Q3;21125,06;0,0;27823,0
2018;418021;2018Q4;23981778,05;19449169,2;24291,0
2018;418170;2018Q1;19892775,14;14325120,45;28505,0
2018;418170;2018Q2;19654012,61;15618569,53;29539,0
2018;418170;2018Q3;21781844,51;17366281,86;29110,0
2018;418170;2018Q4;22802481,35;17810146,83;28117,0
2018;419141;2018Q1;260535,34;235366,41;444,0
2018;419141;2018Q2;296055,88;253237,08;337,0
2018;419141;2018Q3;236902,3;131942,13;311,0
2018;419141;2018Q4;229324,81;163553,58;301,0
2018;419249;2018Q1;4185933,62;3297489,34;4660,0
2018;419249;2018Q2;5555623,08;4303261,14;4607,0
2018;419249;2018Q3;4678275,41;3323649,33;4130,0
2018;419249;2018Q4;5203578,37;4811218,14;4136,0
2018;420158;2018Q1;7753469,45;4974154,14;9625,0
2018;420158;2018Q2;8084076,05;6020642,69;9658,0
2018;420158;2018Q3;8478352,28;5787472,61;9695,0
2018;420158;2018Q4;8736855,13;5457944,32;9853,0
2018;420166;2018Q1;2220975,38;4976125,03;5112,0
2018;420166;2018Q2;2122334,81;5677591,06;5213,0
2018;420166;2018Q3;2355180,8;6780890,2;5884,0
2018;420166;2018Q4;2380004,54;6907483,01;5949,0
2019;301728;2019Q1;716885,08;297547,5;1274,0
2019;301728;2019Q2;744078,83;382564,03;1299,0
2019;301728;2019Q3;771270,17;364143,73;1351,0
2019;301728;2019Q4;827690,16;444842,55;1424,0
2019;303739;2019Q1;3713796,13;2839744,48;4719,0
2019;303739;2019Q2;3830496,85;2877650,16;4793,0
2019;303739;2019Q3;3961446,24;2961224,97;4803,0
2019;303739;2019Q4;4062817,73;2952704,57;4773,0
2019;311359;2019Q1;658351,46;368690,65;673,0
2019;311359;2019Q2;697703,33;514601,61;707,0
2019;311359;2019Q3;706950,06;501335,92;691,0
2019;311359;2019Q4;725170,86;451409,03;695,0
2019;315265;2019Q1;126857,65;157613,98;60,0
2019;315265;2019Q2;121919,51;100909,13;59,0
2019;315265;2019Q3;122613,81;69727,11;53,0
2019;315265;2019Q4;113787,88;142176,35;51,0
2019;320510;2019Q1;4107220,91;2368043,62;3059,0
2019;320510;2019Q2;4113085,68;2397304,88;3082,0
2019;320510;2019Q3;4161254,75;2977881,01;3138,0
2019;320510;2019Q4;4121889,62;3060966,42;3263,0
2019;326500;2019Q1;11505311,45;7108413,65;11757,0
2019;326500;2019Q2;11548354,14;9254747,59;11431,0
2019;326500;2019Q3;11955826,43;9176977,89;10983,0
2019;326500;2019Q4;11927796,19;9515505,83;10628,0
2019;327417;2019Q1;2047266,09;1616259,49;2811,0
2019;327417;2019Q2;3105269,29;2021183,96;4701,0
2019;327417;2019Q3;3762231,79;2581988,32;6093,0
2019;327417;2019Q4;4462760,24;3084781,62;7499,0
2019;328537;2019Q1;1048555,45;836498,57;1704,0
2019;328537;2019Q2;1216266,94;1139013,88;1675,0
2019;328537;2019Q3;1162057,73;1365420,81;1651,0
2019;328537;2019Q4;1169215,87;1060639,09;1541,0
2019;344362;2019Q1;3221190,46;2704079,42;4492,0
2019;344362;2019Q2;3214124,46;3111067,65;4455,0
2019;344362;2019Q3;3454100,69;3277513,23;4410,0
2019;344362;2019Q4;3487706,83;3040904,86;4369,0
2019;344800;2019Q1;17578088,05;0,0;6971,0
2019;344800;2019Q2;21291678,75;0,0;8076,0
2019;344800;2019Q3;24023123,26;0,0;7426,0
2019;344800;2019Q4;59939532,38;0,0;7137,0
2019;360244;2019Q1;5838040,45;4681903,76;6636,0
2019;360244;2019Q2;5300633,38;3723806,3;5896,0
2019;360244;2019Q3;5006329,05;3559655,64;5364,0
2019;360244;2019Q4;4797314,04;3544295,27;5049,0
2019;363766;2019Q1;11774101,65;6844956,73;11983,0
2019;363766;2019Q2;11891933,43;6928354,81;12885,0
2019;363766;2019Q3;12362773,96;8184257,02;13721,0
2019;363766;2019Q4;12481715,14;8065821,88;14267,0
2019;366561;2019Q1;3390508,85;2727007,34;4520,0
2019;366561;2019Q2;3509416,9;3109747,5;4548,0
2019;366561;2019Q3;3654799,59;3869948,22;4569,0
2019;366561;2019Q4;3780416,13;2969231,68;4658,0
2019;369373;2019Q1;28384,47;286797,14;413,0
2019;369373;2019Q2;32294,65;216072,48;437,0
2019;369373;2019Q3;40094,13;168862,97;463,0
2019;369373;2019Q4;41312,0;136503,92;476,0
2019;372609;2019Q1;5806544,78;3780554,86;10103,0
2019;372609;2019Q2;5842512,35;3942281,66;9965,0
2019;372609;2019Q3;5943206,62;4345871,9;9845,0
2019;372609;2019Q4;6110516,75;4718274,9;9755,0
2019;385255;2019Q1;9715,56;6310,22;1607,0
2019;385255;2019Q2;21745,91;9247,81;2045,0
2019;385255;2019Q3;18624,0;10665,91;2345,0
2019;385255;2019Q4;20910,19;14574,89;2618,0
2019;392391;2019Q1;10131532,94;7840138,71;13096,0
2019;392391;2019Q2;10603378,0;7668854,79;13338,0
2019;392391;2019Q3;10781321,07;8479186,72;13580,0
2019;392391;2019Q4;11521942,88;8382166,53;19976,0
2019;394734;2019Q1;2506227,2;1544382,64;7527,0
2019;394734;2019Q2;2659130,89;2311205,52;11291,0
2019;394734;2019Q3;4008079,45;6347927,2;11648,0
2019;394734;2019Q4;3861656,27;9663899,91;14131,0
2019;401081;2019Q1;5676532,12;3773636,29;11018,0
2019;401081;2019Q2;6294179,64;4356691,63;12735,0
2019;401081;2019Q3;6746615,12;3968587,79;13709,0
2019;401081;2019Q4;7460858,36;4609262,28;14375,0
2019;411752;2019Q1;167647,72;2527745,25;796,0
2019;411752;2019Q2;231055,42;2386476,1;788,0
2019;411752;2019Q3;243575,52;3211925,55;779,0
2019;411752;2019Q4;245505,53;2314803,64;774,0
2019;412538;2019Q1;111843,09;361986,38;426,0
2019;412538;2019Q2;301313,26;510267,61;511,0
2019;412538;2019Q3;328548,05;681749,93;448,0
2019;412538;2019Q4;240592,15;535414,44;3,0
2019;414131;2019Q1;323370,97;119460,85;1187,0
2019;414131;2019Q2;418673,72;245279,21;1160,0
2019;414131;2019Q3;401356,44;180885,1;1160,0
2019;414131;2019Q4;408555,64;301704,27;1190,0
2019;414352;2019Q1;10937925,66;3341649,29;6971,0
2019;414352;2019Q2;11127872,98;3031610,82;7560,0
2019;414352;2019Q3;12179655,12;4785542,71;7663,0
2019;414352;2019Q4;13896658,6;8619242,33;10706,0
2019;414492;2019Q1;29055279,08;17654532,34;20628,0
2019;414492;2019Q2;31136391,35;20528465,96;20988,0
2019;414492;2019Q3;30983030,87;21499761,24;20779,0
2019;414492;2019Q4;30699916,68;18610197,84;20736,0
2019;414581;2019Q1;1585505,11;2661388,15;3965,0
2019;414581;2019Q2;2215499,01;2350321,94;4758,0
2019;414581;2019Q3;3222841,02;2505163,0;5882,0
2019;414581;2019Q4;3505809,68;3025031,95;6109,0
2019;414930;2019Q1;5500158,73;5114999,3;5048,0
2019;414930;2019Q2;5827126,4799999995;6173793,82;4997,0
2019;414930;2019Q3;6057163,94;4835465,73;4953,0
2019;414930;2019Q4;6594619,970000001;5845619,23;4906,0
2019;415111;2019Q1;1010120,37;1010024,75;11284,0
2019;415111;2019Q2;1386687,39;3138255,92;9975,0
2019;415111;2019Q3;1163794,91;942824,83;1518,0
2019;415111;2019Q4;1193739,24;921625,59;1399,0
2019;415693;2019Q1;5703333,77;4266141,58;5111,0
2019;415693;2019Q2;5862508,07;5252283,4;4965,0
2019;415693;2019Q3;5840902,62;5062585,0;4880,0
2019;415693;2019Q4;5847099,3;5015361,31;4794,0
2019;415774;2019Q1;5457479,69;6419153,57;4639,0
2019;415774;2019Q2;4003450,63;4199773,32;5538,0
2019;415774;2019Q3;4477252,15;4638963,51;6664,0
2019;415774;2019Q4;6742856,9;474777,7;7614,0
2019;416495;2019Q1;100450,5;38393,49;203,0
2019;416495;2019Q2;111864,85;59481,09;214,0
2019;416495;2019Q3;112567,83;106453,7;206,0
2019;416495;2019Q4;130918,03;119916,48;211,0
2019;416738;2019Q1;1951162,36;944879,74;3396,0
2019;416738;2019Q2;1885936,58;1143983,72;3698,0
2019;416738;2019Q3;1910758,01;1657509,74;4115,0
2019;416738;2019Q4;2041291,79;1526704,24;4355,0
2019;417530;2019Q1;18537453,4;13385921,92;12729,0
2019;417530;2019Q2;17449816,82;11264218,94;11990,0
2019;417530;2019Q3;15864605,42;11294721,33;10539,0
2019;417530;2019Q4;14545885,35;11853194,06;11729,0
2019;417599;2019Q1;613107,64;338934,8;934,0
2019;417599;2019Q2;756993,53;413514,99;924,0
2019;417599;2019Q3;585839,07;412534,63;918,0
2019;417599;2019Q4;496463,66;702313,95;930,0
2019;418021;2019Q1;22778049,92;21326674,2;23911,0
2019;418021;2019Q2;20859913,37;20506591,2;23041,0
2019;418021;2019Q3;21393330,7;18200576,17;22747,0
2019;418021;2019Q4;21096949,27;15593385,83;21155,0
2019;418170;2019Q1;21094006,03;14491464,97;27857,0
2019;418170;2019Q2;20343941,25;17691426,28;28974,0
2019;418170;2019Q3;21840201,5;17875572,9;26592,0
2019;418170;2019Q4;22745074,18;18658998,26;25520,0
2019;419141;2019Q1;226160,03;155166,89;300,0
2019;419141;2019Q2;232354,57;202292,38;285,0
2019;419141;2019Q3;222847,43;109318,43;270,0
2019;419141;2019Q4;185428,14;126215,72;192,0
2019;419249;2019Q1;2220094,72;2521947,19;4110,0
2019;419249;2019Q2;5209936,05;4310969,73;3882,0
2019;419249;2019Q3;5237763,08;4509084,52;3851,0
2019;419249;2019Q4;1740989,29;5112472,2;3894,0
2019;420158;2019Q1;8842796,04;5844520,74;9921,0
2019;420158;2019Q2;9324124,26;6876856,72;9935,0
2019;420158;2019Q3;9644364,68;6490471,79;10027,0
2019;420158;2019Q4;9528429,71;5950799,39;10098,0
2019;420166;2019Q1;2384156,84;6392109,35;5852,0
2019;420166;2019Q2;2318964,95;6323135,2;5660,0
2019;420166;2019Q3;2207499,47;6206183,04;5327,0
2019;420166;2019Q4;2030385,12;6833142,82;5188,0
2020;301728;2020Q1;901430,6;447833,82;1496,0
2020;301728;2020Q2;916146,23;477242,98;1520,0
2020;301728;2020Q3;962279,42;431122,96;1595,0
2020;301728;2020Q4;958381,19;472550,64;1641,0
2020;303739;2020Q1;4112684,47;2920754,03;4795,0
